Aegilops tauschii
Arabidopsis lyrata
Arabidopsis thaliana
Arabis alpina
Beta vulgaris
Brachypodium distachyon
Brassica napus
Brassica oleracea
Brassica rapa
Carica papaya
Chlamydomonas reinhardtii
Citrullus lanatus
Cucumis melo
Cucumis sativus
Eucalyptus grandis
Eutrema salsugineum
Fragaria vesca
Glycine max
Gossypium arboreum
Gossypium barbadense
Gossypium hirsutum
Gossypium raimondii
Hordeum vulgare
Lotus japonicus
Malus domestica
Medicago truncatula
Musa acuminata
Oryza sativa
Phaseolus vulgaris
Physcomitrella patens
Populus trichocarpa
Prunus persica
Pyrus bretschneideri
Rosa chinensis
Setaria italica
Solanum lycopersicum
Solanum tuberosum
Sorghum bicolor
Triticum aestivum
Triticum urartu
Vitis vinifera
Zea mays
